i,j,group_i,group_j,peak_lag_returns,peak_rho_returns,peak_lag_prices,peak_rho_prices,peak_lag_ofi,peak_rho_ofi,abs_rho_returns
PANEL_2X4,SLEEP_POD_NYLON,panel,sleep_pod,45,0.020671770995035463,110,0.24654350258167188,160,-0.016781306819849313,0.020671770995035463
MICROCHIP_OVAL,PEBBLES_L,microchip,pebbles,15,-0.020670971851193102,200,-0.09203449237831292,5,-0.019381869917482707,0.020670971851193102
SNACKPACK_PISTACHIO,PANEL_4X4,snackpack,panel,145,0.020653259214282824,200,0.11649103883826732,2,0.013710183670588282,0.020653259214282824
SNACKPACK_STRAWBERRY,GALAXY_SOUNDS_DARK_MATTER,snackpack,galaxy_sounds,1,-0.020632405525181852,200,0.1975774489763129,85,-0.014739338333157298,0.020632405525181852
PANEL_4X4,MICROCHIP_SQUARE,panel,microchip,145,-0.020632126211513866,105,0.20539524701954773,140,0.01716116640983042,0.020632126211513866
TRANSLATOR_VOID_BLUE,SNACKPACK_STRAWBERRY,translator,snackpack,55,0.0205754526640585,200,0.35494875107133467,17,0.014402252369000924,0.0205754526640585
ROBOT_DISHES,PANEL_1X2,robot,panel,105,0.02055274176351463,42,-0.07061639738791485,100,-0.017276679127536516,0.02055274176351463
UV_VISOR_ORANGE,SLEEP_POD_SUEDE,uv_visor,sleep_pod,10,-0.02054295565308447,200,0.21109155115663247,10,-0.014696792130651323,0.02054295565308447
OXYGEN_SHAKE_MINT,PEBBLES_XL,oxygen_shake,pebbles,60,0.020514258569484783,200,0.3309634940748223,60,0.014144929451565258,0.020514258569484783
PANEL_1X2,OXYGEN_SHAKE_MORNING_BREATH,panel,oxygen_shake,1,-0.020510075378036213,0,-0.4363320716736199,1,-0.025275802168848168,0.020510075378036213
UV_VISOR_RED,TRANSLATOR_SPACE_GRAY,uv_visor,translator,55,-0.02050615311880662,0,-0.24607040499020782,155,0.014605877252317412,0.02050615311880662
PEBBLES_M,TRANSLATOR_ECLIPSE_CHARCOAL,pebbles,translator,35,0.020501590726779595,0,-0.5687412374823645,31,0.017286133970371997,0.020501590726779595
PEBBLES_M,MICROCHIP_TRIANGLE,pebbles,microchip,18,0.0204886828926662,0,-0.023168996573094177,70,-0.014200542600117454,0.0204886828926662
ROBOT_VACUUMING,TRANSLATOR_ASTRO_BLACK,robot,translator,24,0.02047840751080171,0,0.3641180388105705,23,-0.018640551849953894,0.02047840751080171
TRANSLATOR_SPACE_GRAY,MICROCHIP_CIRCLE,translator,microchip,115,0.02047543459294292,0,-0.4104535055768282,60,-0.014097518627335916,0.02047543459294292
SLEEP_POD_COTTON,GALAXY_SOUNDS_SOLAR_WINDS,sleep_pod,galaxy_sounds,15,-0.02042066251427021,0,0.12784203284481618,95,0.01222786104753261,0.02042066251427021
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_RASPBERRY,galaxy_sounds,snackpack,1,-0.020417028558523505,200,-0.25689715904088106,26,-0.01889836209120714,0.020417028558523505
SNACKPACK_RASPBERRY,TRANSLATOR_ECLIPSE_CHARCOAL,snackpack,translator,150,-0.02039113477377252,200,-0.3870694635940701,50,0.016062515361813613,0.02039113477377252
TRANSLATOR_ASTRO_BLACK,GALAXY_SOUNDS_PLANETARY_RINGS,translator,galaxy_sounds,47,0.020385108728779553,0,-0.16168575716734992,47,0.014688272095631527,0.020385108728779553
PEBBLES_XL,PANEL_1X4,pebbles,panel,25,-0.020372174753161103,0,0.4197377993788293,5,0.015464188980633167,0.020372174753161103
TRANSLATOR_ECLIPSE_CHARCOAL,GALAXY_SOUNDS_BLACK_HOLES,translator,galaxy_sounds,50,-0.02034442811470889,200,0.07025807357134313,31,0.016324677907467982,0.02034442811470889
PEBBLES_S,SNACKPACK_PISTACHIO,pebbles,snackpack,95,-0.020288663365263637,0,0.36889061971459514,14,-0.016490661590853547,0.020288663365263637
UV_VISOR_ORANGE,GALAXY_SOUNDS_PLANETARY_RINGS,uv_visor,galaxy_sounds,105,-0.02028721399065513,0,0.23645909656558825,155,0.01898755759510162,0.02028721399065513
MICROCHIP_TRIANGLE,PEBBLES_XL,microchip,pebbles,40,0.02024246619836154,95,-0.26266765866165737,40,0.01621994942230344,0.02024246619836154
PANEL_1X4,PEBBLES_XL,panel,pebbles,40,-0.02021584362165073,200,0.4227336639404677,41,-0.019963453460150552,0.02021584362165073
OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_PISTACHIO,oxygen_shake,snackpack,19,-0.020212886080776375,200,0.2125314755990173,19,-0.02178983250589341,0.020212886080776375
SNACKPACK_RASPBERRY,MICROCHIP_TRIANGLE,snackpack,microchip,50,-0.020210957036447406,200,-0.14416136783933484,155,0.011295146601576949,0.020210957036447406
