product,group,ofi_ic_h1,ofi_ic_h5,ofi_ic_h20,ofi_ic_h100,spread_med,spread_regime_changes,spread_regime_mean_run,rs5_wide_regime,rs5_tight_regime,roll_effective_spread
PEBBLES_XL,pebbles,0.009387273958197658,0.015541574341205185,-0.0016582164073164231,-0.007840934149931415,17.0,3071,9.76880494952784,0.8793151063242198,0.9985887518293958,
PEBBLES_XS,pebbles,-0.014916218017883832,0.0013976851785570258,-0.008983527453081046,-0.009000168819260645,9.0,2327,12.89213579716373,0.004093400726133694,0.12374592425382493,3.7532120832430818
ROBOT_DISHES,robot,-0.01973403099756504,-0.02809605151230466,-0.020809955009967816,-0.006703301615768064,7.0,6820,4.39882697947214,-1.805117420259376,-0.21554354736172918,17.1181593511669
ROBOT_IRONING,robot,-0.09666960900322609,-0.04030150939263678,-0.02253083802093481,-0.003524174449447092,6.0,581,51.63511187607573,-0.7906529209621993,-0.6284551056338028,7.393005098568891
ROBOT_LAUNDRY,robot,-0.0029298960281160967,-0.0035750833445598994,0.012775253612496276,-0.0024939121824093203,7.0,8873,3.3810436154626395,-0.16873139345049457,0.08201409457665203,
ROBOT_MOPPING,robot,-0.0043881000309589115,-0.01507721445118209,-0.0014479419502782254,-0.002571502711948227,8.0,6551,4.579453518546787,-0.5523421085156347,-0.3006985025566107,2.339918898930927
ROBOT_VACUUMING,robot,-0.01274234279833986,-0.006833167471036641,-0.0031448308437037687,-0.0043037857249973634,7.0,4061,7.387343018960847,-0.36575673807878367,-0.05138186782775543,1.6472443958976146
SLEEP_POD_COTTON,sleep_pod,-0.007559219329868135,-0.007234382539326341,0.004278326028982718,-0.00043605427279482233,10.0,3906,7.680491551459293,0.11102508516568597,-0.3785946425054166,1.329565769199238
SLEEP_POD_LAMB_WOOL,sleep_pod,0.00610935506722192,0.011815540320261794,0.008788003421759689,0.0009363925566220396,10.0,620,48.38709677419355,-0.5302325581395348,0.24346355487908,
SLEEP_POD_NYLON,sleep_pod,-0.0023635777359268416,-0.002139576301561932,0.0005626255455719128,0.0011437849497991002,9.0,1890,15.873015873015873,0.61134789557805,-0.11951419019844939,
SLEEP_POD_POLYESTER,sleep_pod,0.0018826767492966475,0.004755194224667759,-0.0024604107428282907,0.0025009560241139868,11.0,3768,7.961783439490445,-0.07373929590865842,0.15906042768795173,0.9853243920424534
SLEEP_POD_SUEDE,sleep_pod,-0.008681978357812837,-0.00546178502266119,-0.001556615981994458,-0.004133226550822568,10.0,7333,4.09109504977499,0.23321982256474594,-0.34248248035676365,1.8175134954338588
SNACKPACK_CHOCOLATE,snackpack,-0.020243793505680424,-0.006485011047676025,-0.007479879292680869,-0.0032018431322243957,17.0,1526,19.65923984272608,0.3163265306122449,-0.19343443046699982,2.3184522624377997
SNACKPACK_PISTACHIO,snackpack,-0.007184428353197714,0.005551001919634814,-0.005418857242740237,-0.005094141335310322,16.0,7346,4.083855159270351,0.23833552727804594,-0.14023231712583126,1.6615821829868773
SNACKPACK_RASPBERRY,snackpack,-0.006424031518323546,0.0047615366643683765,-0.005291453893093924,-0.002058911132269846,17.0,6532,4.5927740355174524,0.26907519764662624,-0.06841505131128849,2.1027833000073533
SNACKPACK_STRAWBERRY,snackpack,-0.0041472021610687955,0.0038261108444538764,-0.006113368516225115,-0.007438938802234076,18.0,6441,4.657661853749418,0.09047565627103432,0.005668611545941843,1.9340354562787332
SNACKPACK_VANILLA,snackpack,-0.015777323175438635,-0.006137744264806031,-0.003479664340776209,-0.0024965328672212055,17.0,6885,4.357298474945534,0.0562279374684821,-0.2158155202528487,2.1384424609686294
TRANSLATOR_ASTRO_BLACK,translator,-0.002313559072757822,-0.0004952482069246031,0.011561512285208284,-0.0011818394047764548,8.0,7825,3.8338658146964857,0.18639335330972487,-0.2012931879041212,1.4932120103016049
TRANSLATOR_ECLIPSE_CHARCOAL,translator,0.00403627584824416,-0.008528560178534915,-0.0014136860141308898,0.0014295187565381696,9.0,2260,13.274336283185841,-0.4343891402714932,-0.12712668728908885,1.697550540692763
TRANSLATOR_GRAPHITE_MIST,translator,-0.001686445368538278,-0.002386504157307043,0.002324973537354073,-0.005805523832873394,9.0,2986,10.046885465505694,-0.3411350455675228,-0.0035761115746811302,1.2282266132023956
TRANSLATOR_SPACE_GRAY,translator,0.00031893923951283444,0.0007686099723057394,-6.223204734896632e-05,-0.001362255607617823,9.0,624,48.07692307692308,0.575801749271137,0.08141103466882503,
TRANSLATOR_VOID_BLUE,translator,-0.0040996693951140025,0.00011994122798423634,-0.006924597607486075,-0.009608114794715869,10.0,2260,13.274336283185841,-0.47829131652661067,-0.012059369202226345,1.9850823087112484
UV_VISOR_AMBER,uv_visor,-0.0018646638327901792,0.006745015574671334,-0.0002578027601936099,0.002204527792818879,10.0,3185,9.419152276295133,0.11821561338289963,0.10908328675237564,1.036123527788616
UV_VISOR_MAGENTA,uv_visor,0.00030446152257443523,0.0010184369118076573,1.577640526203628e-05,-0.012578235652136538,14.0,6391,4.694101079643248,0.2645691812656418,-0.12932542161149282,1.2312379294073375
UV_VISOR_ORANGE,uv_visor,0.0036609795848372767,-0.0026613722312077122,-0.0007850308890591452,-0.002214592850821335,13.0,5024,5.971337579617835,-0.11378307441299568,0.025946659957227326,
UV_VISOR_RED,uv_visor,-0.00020759921812668562,-0.008233100797043664,-0.008619171673875393,0.001854251431024858,14.0,3313,9.055236945366737,-0.1977703565465082,-0.20876652871706874,1.2194707346532883
UV_VISOR_YELLOW,uv_visor,0.0004098290187768036,0.00428539967522385,0.002360789153490357,0.0019324263361194121,14.0,6138,4.887585532746823,-0.028481806775407778,0.06330376940133038,
