product,primary,secondary,expected_avg_daily_low,expected_avg_daily_mid,expected_avg_daily_high,n_supporting_findings,rationale,v3_3day_pnl,mr_v6_3day_pnl
PANEL_4X4,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=4,1038,1291,1544,1,PROD_CAP=4 from round-2 Phase B bleeder analysis,3116,4632
PEBBLES_L,basket_invariant_PEBBLES,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),-4079,-467,3144,2,"Member of PEBBLES sum-50000 invariant (std 2.8, half-life 0.16t); mr_v6 TAKER outperforms v3 by +21,671 — Phase H ablation candidate",-12237,9434
PEBBLES_M,basket_invariant_PEBBLES,cross_pair_skew(n=3); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),314,1674,3034,3,"Member of PEBBLES sum-50000 invariant (std 2.8, half-life 0.16t); Leg in 3 cross-group cointegration pair(s) (round-3 Phase C); mr_v6 TAKER outperforms v3 by +8,160 — Phase H ablation candidate",943,9103
PEBBLES_S,basket_invariant_PEBBLES,cross_pair_skew(n=4); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1798,4598,7398,2,"Member of PEBBLES sum-50000 invariant (std 2.8, half-life 0.16t); Leg in 4 cross-group cointegration pair(s) (round-3 Phase C)",5394,22195
PEBBLES_XL,basket_invariant_PEBBLES,cross_pair_skew(n=2); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),3314,3467,3621,2,"Member of PEBBLES sum-50000 invariant (std 2.8, half-life 0.16t); Leg in 2 cross-group cointegration pair(s) (round-3 Phase C)",9942,10865
PEBBLES_XS,basket_invariant_PEBBLES,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),4309,4657,5005,3,"Member of PEBBLES sum-50000 invariant (std 2.8, half-life 0.16t); Leg in 1 cross-group cointegration pair(s) (round-3 Phase C); mr_v6 TAKER outperforms v3 by +2,088 — Phase H ablation candidate",12928,15016
ROBOT_DISHES,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),-994,1372,3739,1,"mr_v6 TAKER outperforms v3 by +14,201 — Phase H ablation candidate",-2982,11219
ROBOT_IRONING,cointegration_leg,cross_pair_skew(n=2); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),0,177,354,2,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C); mr_v6 chose IDLE — chronic MM loser; Phase H may apply,1064,0
ROBOT_LAUNDRY,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),717,1037,1358,1,Leg in within-group cointegration pair (round-1),4074,2151
ROBOT_MOPPING,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=4,331,1869,3408,2,"PROD_CAP=4 from round-2 Phase B bleeder analysis; mr_v6 TAKER outperforms v3 by +9,231 — Phase H ablation candidate",994,10225
ROBOT_VACUUMING,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),141,337,533,1,Leg in within-group cointegration pair (round-1),423,1600
SLEEP_POD_COTTON,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2930,2994,3059,1,Leg in within-group cointegration pair (round-1),9177,8790
SLEEP_POD_LAMB_WOOL,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=3,-770,-385,0,3,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C); PROD_CAP=3 from round-2 Phase B bleeder analysis; mr_v6 chose IDLE — chronic MM loser; Phase H may apply,-2310,0
SLEEP_POD_NYLON,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),355,982,1610,0,Default MM with inv_skew,4830,1066
SLEEP_POD_POLYESTER,cointegration_leg,cross_pair_skew(n=3); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1346,2014,2683,3,"Leg in 3 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1); mr_v6 TAKER outperforms v3 by +4,009 — Phase H ablation candidate",4040,8049
SLEEP_POD_SUEDE,cointegration_leg,cross_pair_skew(n=2); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),0,504,1009,3,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1); mr_v6 chose IDLE — chronic MM loser; Phase H may apply,3027,0
SNACKPACK_CHOCOLATE,basket_invariant_SNACKPACK,cross_pair_skew(n=1); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=5,-1563,54,1672,4,Member of SNACKPACK sum-50221 invariant (std 190); Leg in 1 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1); PROD_CAP=5 from round-2 Phase B bleeder analysis,-4689,5017
SNACKPACK_PISTACHIO,basket_invariant_SNACKPACK,cross_pair_skew(n=3); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),564,1733,2903,2,Member of SNACKPACK sum-50221 invariant (std 190); Leg in 3 cross-group cointegration pair(s) (round-3 Phase C),8711,1692
SNACKPACK_RASPBERRY,basket_invariant_SNACKPACK,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=5,-3412,-818,1776,3,Member of SNACKPACK sum-50221 invariant (std 190); Leg in within-group cointegration pair (round-1); PROD_CAP=5 from round-2 Phase B bleeder analysis,-10238,5330
SNACKPACK_STRAWBERRY,basket_invariant_SNACKPACK,cross_pair_skew(n=3); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),871,2745,4620,3,Member of SNACKPACK sum-50221 invariant (std 190); Leg in 3 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),13860,2614
SNACKPACK_VANILLA,basket_invariant_SNACKPACK,cross_pair_skew(n=2); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),590,724,857,3,Member of SNACKPACK sum-50221 invariant (std 190); Leg in 2 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),2573,1772
TRANSLATOR_ASTRO_BLACK,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),898,1787,2676,0,Default MM with inv_skew,8030,2694
TRANSLATOR_ECLIPSE_CHARCOAL,cointegration_leg,cross_pair_skew(n=1); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1882,2030,2178,2,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),5648,6536
TRANSLATOR_GRAPHITE_MIST,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1291,1358,1426,0,Default MM with inv_skew,4278,3874
TRANSLATOR_SPACE_GRAY,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=4,-1679,-839,0,2,PROD_CAP=4 from round-2 Phase B bleeder analysis; mr_v6 chose IDLE — chronic MM loser; Phase H may apply,-5039,0
TRANSLATOR_VOID_BLUE,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),3399,3454,3509,1,Leg in within-group cointegration pair (round-1),10529,10199
UV_VISOR_AMBER,cointegration_leg,cross_pair_skew(n=4); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2951,3261,3572,2,Leg in 4 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),8853,10718
UV_VISOR_MAGENTA,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=4,-960,-480,0,3,Leg in within-group cointegration pair (round-1); PROD_CAP=4 from round-2 Phase B bleeder analysis; mr_v6 chose IDLE — chronic MM loser; Phase H may apply,-2880,0
UV_VISOR_ORANGE,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2954,3009,3064,0,Default MM with inv_skew,9194,8864
UV_VISOR_RED,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),-73,-18,36,0,Default MM with inv_skew,110,-220
UV_VISOR_YELLOW,cointegration_leg,cross_pair_skew(n=2); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),174,221,267,1,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C),802,524
