check,kind,claim,n,mean,std,min,max,target,deviation_mean,a,b,slope,intercept,adf_stat,adf_p,half_life,resid_std,claimed_p,product,ar1,n_distinct_mids,lattice_ratio
CROSS:UV_VISOR_AMBER|SNACKPACK_STRAWBERRY,cross_coint,,30000,,,,,,,UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,-2.4501,34143.94,-4.179493091973013,0.0007135915440177526,594.5755464870401,447.4163196467181,,,,,
CROSS:PEBBLES_M|OXYGEN_SHAKE_MORNING_BREATH,cross_coint,,30000,,,,,,,PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,-0.9037,19300.55,-4.3395872254693835,0.00037908548184384047,548.5490377438394,353.69786864624916,,,,,
CROSS:ROBOT_IRONING|PEBBLES_M,cross_coint,,30000,,,,,,,ROBOT_IRONING,PEBBLES_M,-0.9154,18096.05,-3.6131274218130107,0.005514962505446764,831.6797502662994,445.07157924012176,,,,,
CROSS:MICROCHIP_SQUARE|SLEEP_POD_SUEDE,cross_coint,,30000,,,,,,,MICROCHIP_SQUARE,SLEEP_POD_SUEDE,1.8678,-7692.97,-3.5686339404465905,0.006389781751465007,806.679950992026,723.7548318836434,,,,,
AR1:ROBOT_DISHES,ar1,,29999,,,,,,,,,,,,,,,,ROBOT_DISHES,-0.231749543048516,,
AR1:OXYGEN_SHAKE_EVENING_BREATH,ar1,,29999,,,,,,,,,,,,,,,,OXYGEN_SHAKE_EVENING_BREATH,-0.12268923508718992,,
AR1:ROBOT_IRONING,ar1,,29999,,,,,,,,,,,,,,,,ROBOT_IRONING,-0.12528697126542185,,
AR1:OXYGEN_SHAKE_CHOCOLATE,ar1,,29999,,,,,,,,,,,,,,,,OXYGEN_SHAKE_CHOCOLATE,-0.08906827565245919,,
AR1:SNACKPACK_CHOCOLATE,ar1,,29999,,,,,,,,,,,,,,,,SNACKPACK_CHOCOLATE,-0.031079897094316435,,
LATTICE:OXYGEN_SHAKE_EVENING_BREATH,lattice,,30000,,,,,,,,,,,,,,,,OXYGEN_SHAKE_EVENING_BREATH,,453.0,0.0151
LATTICE:ROBOT_IRONING,lattice,,30000,,,,,,,,,,,,,,,,ROBOT_IRONING,,631.0,0.021033333333333334
LATTICE:ROBOT_DISHES,lattice,,30000,,,,,,,,,,,,,,,,ROBOT_DISHES,,3048.0,0.1016
