day,product,column,n_nan
2,OXYGEN_SHAKE_CHOCOLATE,ask_volume_3,9854
2,OXYGEN_SHAKE_EVENING_BREATH,bid_price_3,9835
2,OXYGEN_SHAKE_EVENING_BREATH,bid_volume_3,9835
2,OXYGEN_SHAKE_EVENING_BREATH,ask_price_3,9854
2,OXYGEN_SHAKE_EVENING_BREATH,ask_volume_3,9854
2,OXYGEN_SHAKE_GARLIC,bid_price_3,9835
2,OXYGEN_SHAKE_GARLIC,bid_volume_3,9835
2,OXYGEN_SHAKE_GARLIC,ask_price_3,9854
2,OXYGEN_SHAKE_GARLIC,ask_volume_3,9854
2,OXYGEN_SHAKE_MINT,bid_price_3,9835
2,OXYGEN_SHAKE_MINT,bid_volume_3,9835
2,OXYGEN_SHAKE_MINT,ask_price_3,9854
2,OXYGEN_SHAKE_MINT,ask_volume_3,9854
2,OXYGEN_SHAKE_MORNING_BREATH,bid_price_3,9835
2,OXYGEN_SHAKE_MORNING_BREATH,bid_volume_3,9835
2,OXYGEN_SHAKE_MORNING_BREATH,ask_price_3,9854
2,OXYGEN_SHAKE_MORNING_BREATH,ask_volume_3,9854
2,PANEL_1X2,bid_price_3,9835
2,PANEL_1X2,bid_volume_3,9835
2,PANEL_1X2,ask_price_3,9854
2,PANEL_1X2,ask_volume_3,9854
2,PANEL_1X4,bid_price_2,145
2,PANEL_1X4,bid_volume_2,145
2,PANEL_1X4,bid_price_3,9836
2,PANEL_1X4,bid_volume_3,9836
2,PANEL_1X4,ask_price_2,150
2,PANEL_1X4,ask_volume_2,150
2,PANEL_1X4,ask_price_3,9855
2,PANEL_1X4,ask_volume_3,9855
2,PANEL_2X2,bid_price_2,252
2,PANEL_2X2,bid_volume_2,252
2,PANEL_2X2,bid_price_3,9842
2,PANEL_2X2,bid_volume_3,9842
2,PANEL_2X2,ask_price_2,197
2,PANEL_2X2,ask_volume_2,197
2,PANEL_2X2,ask_price_3,9855
2,PANEL_2X2,ask_volume_3,9855
2,PANEL_2X4,bid_price_3,9835
2,PANEL_2X4,bid_volume_3,9835
2,PANEL_2X4,ask_price_3,9854
2,PANEL_2X4,ask_volume_3,9854
2,PANEL_4X4,bid_price_2,72
2,PANEL_4X4,bid_volume_2,72
2,PANEL_4X4,bid_price_3,9835
2,PANEL_4X4,bid_volume_3,9835
2,PANEL_4X4,ask_price_2,76
2,PANEL_4X4,ask_volume_2,76
2,PANEL_4X4,ask_price_3,9854
2,PANEL_4X4,ask_volume_3,9854
2,PEBBLES_L,bid_price_3,9874
2,PEBBLES_L,bid_volume_3,9874
2,PEBBLES_L,ask_price_3,9840
2,PEBBLES_L,ask_volume_3,9840
2,PEBBLES_M,bid_price_3,9874
2,PEBBLES_M,bid_volume_3,9874
2,PEBBLES_M,ask_price_3,9840
2,PEBBLES_M,ask_volume_3,9840
2,PEBBLES_S,bid_price_3,9874
2,PEBBLES_S,bid_volume_3,9874
2,PEBBLES_S,ask_price_3,9840
2,PEBBLES_S,ask_volume_3,9840
2,PEBBLES_XL,bid_price_3,9874
2,PEBBLES_XL,bid_volume_3,9874
2,PEBBLES_XL,ask_price_3,9840
2,PEBBLES_XL,ask_volume_3,9840
2,PEBBLES_XS,bid_price_3,9874
2,PEBBLES_XS,bid_volume_3,9874
2,PEBBLES_XS,ask_price_3,9840
2,PEBBLES_XS,ask_volume_3,9840
2,ROBOT_DISHES,bid_price_2,2405
2,ROBOT_DISHES,bid_volume_2,2405
2,ROBOT_DISHES,bid_price_3,9873
2,ROBOT_DISHES,bid_volume_3,9873
2,ROBOT_DISHES,ask_price_2,2347
2,ROBOT_DISHES,ask_volume_2,2347
2,ROBOT_DISHES,ask_price_3,9891
2,ROBOT_DISHES,ask_volume_3,9891
2,ROBOT_IRONING,bid_price_2,4415
2,ROBOT_IRONING,bid_volume_2,4415
2,ROBOT_IRONING,bid_price_3,9896
2,ROBOT_IRONING,bid_volume_3,9896
2,ROBOT_IRONING,ask_price_2,4422
2,ROBOT_IRONING,ask_volume_2,4422
2,ROBOT_IRONING,ask_price_3,9908
2,ROBOT_IRONING,ask_volume_3,9908
2,ROBOT_LAUNDRY,bid_price_2,1707
2,ROBOT_LAUNDRY,bid_volume_2,1707
2,ROBOT_LAUNDRY,bid_price_3,9871
2,ROBOT_LAUNDRY,bid_volume_3,9871
2,ROBOT_LAUNDRY,ask_price_2,1783
2,ROBOT_LAUNDRY,ask_volume_2,1783
2,ROBOT_LAUNDRY,ask_price_3,9877
2,ROBOT_LAUNDRY,ask_volume_3,9877
2,ROBOT_MOPPING,bid_price_2,1581
2,ROBOT_MOPPING,bid_volume_2,1581
2,ROBOT_MOPPING,bid_price_3,9868
2,ROBOT_MOPPING,bid_volume_3,9868
2,ROBOT_MOPPING,ask_price_2,1571
2,ROBOT_MOPPING,ask_volume_2,1571
2,ROBOT_MOPPING,ask_price_3,9880
2,ROBOT_MOPPING,ask_volume_3,9880
2,ROBOT_VACUUMING,bid_price_2,2226
2,ROBOT_VACUUMING,bid_volume_2,2226
2,ROBOT_VACUUMING,bid_price_3,9874
2,ROBOT_VACUUMING,bid_volume_3,9874
2,ROBOT_VACUUMING,ask_price_2,2189
2,ROBOT_VACUUMING,ask_volume_2,2189
2,ROBOT_VACUUMING,ask_price_3,9883
2,ROBOT_VACUUMING,ask_volume_3,9883
2,SLEEP_POD_COTTON,bid_price_2,2
2,SLEEP_POD_COTTON,bid_volume_2,2
2,SLEEP_POD_COTTON,bid_price_3,9835
2,SLEEP_POD_COTTON,bid_volume_3,9835
2,SLEEP_POD_COTTON,ask_price_2,3
2,SLEEP_POD_COTTON,ask_volume_2,3
2,SLEEP_POD_COTTON,ask_price_3,9854
2,SLEEP_POD_COTTON,ask_volume_3,9854
2,SLEEP_POD_LAMB_WOOL,bid_price_3,9835
2,SLEEP_POD_LAMB_WOOL,bid_volume_3,9835
2,SLEEP_POD_LAMB_WOOL,ask_price_2,1
2,SLEEP_POD_LAMB_WOOL,ask_volume_2,1
2,SLEEP_POD_LAMB_WOOL,ask_price_3,9854
2,SLEEP_POD_LAMB_WOOL,ask_volume_3,9854
2,SLEEP_POD_NYLON,bid_price_2,478
2,SLEEP_POD_NYLON,bid_volume_2,478
2,SLEEP_POD_NYLON,bid_price_3,9840
2,SLEEP_POD_NYLON,bid_volume_3,9840
2,SLEEP_POD_NYLON,ask_price_2,475
2,SLEEP_POD_NYLON,ask_volume_2,475
2,SLEEP_POD_NYLON,ask_price_3,9864
2,SLEEP_POD_NYLON,ask_volume_3,9864
2,SLEEP_POD_POLYESTER,bid_price_2,15
2,SLEEP_POD_POLYESTER,bid_volume_2,15
2,SLEEP_POD_POLYESTER,bid_price_3,9835
2,SLEEP_POD_POLYESTER,bid_volume_3,9835
2,SLEEP_POD_POLYESTER,ask_price_2,12
2,SLEEP_POD_POLYESTER,ask_volume_2,12
2,SLEEP_POD_POLYESTER,ask_price_3,9854
2,SLEEP_POD_POLYESTER,ask_volume_3,9854
2,SLEEP_POD_SUEDE,bid_price_2,71
2,SLEEP_POD_SUEDE,bid_volume_2,71
2,SLEEP_POD_SUEDE,bid_price_3,9835
2,SLEEP_POD_SUEDE,bid_volume_3,9835
2,SLEEP_POD_SUEDE,ask_price_2,64
2,SLEEP_POD_SUEDE,ask_volume_2,64
2,SLEEP_POD_SUEDE,ask_price_3,9854
2,SLEEP_POD_SUEDE,ask_volume_3,9854
2,SNACKPACK_CHOCOLATE,bid_price_3,9835
2,SNACKPACK_CHOCOLATE,bid_volume_3,9835
2,SNACKPACK_CHOCOLATE,ask_price_3,9854
2,SNACKPACK_CHOCOLATE,ask_volume_3,9854
2,SNACKPACK_PISTACHIO,bid_price_3,9835
2,SNACKPACK_PISTACHIO,bid_volume_3,9835
2,SNACKPACK_PISTACHIO,ask_price_3,9854
2,SNACKPACK_PISTACHIO,ask_volume_3,9854
2,SNACKPACK_RASPBERRY,bid_price_3,9835
2,SNACKPACK_RASPBERRY,bid_volume_3,9835
2,SNACKPACK_RASPBERRY,ask_price_3,9854
2,SNACKPACK_RASPBERRY,ask_volume_3,9854
2,SNACKPACK_STRAWBERRY,bid_price_3,9835
2,SNACKPACK_STRAWBERRY,bid_volume_3,9835
2,SNACKPACK_STRAWBERRY,ask_price_3,9854
2,SNACKPACK_STRAWBERRY,ask_volume_3,9854
2,SNACKPACK_VANILLA,bid_price_3,9835
2,SNACKPACK_VANILLA,bid_volume_3,9835
2,SNACKPACK_VANILLA,ask_price_3,9854
2,SNACKPACK_VANILLA,ask_volume_3,9854
2,TRANSLATOR_ASTRO_BLACK,bid_price_2,114
2,TRANSLATOR_ASTRO_BLACK,bid_volume_2,114
2,TRANSLATOR_ASTRO_BLACK,bid_price_3,9837
2,TRANSLATOR_ASTRO_BLACK,bid_volume_3,9837
2,TRANSLATOR_ASTRO_BLACK,ask_price_2,103
2,TRANSLATOR_ASTRO_BLACK,ask_volume_2,103
2,TRANSLATOR_ASTRO_BLACK,ask_price_3,9855
2,TRANSLATOR_ASTRO_BLACK,ask_volume_3,9855
2,TRANSLATOR_ECLIPSE_CHARCOAL,bid_price_2,395
2,TRANSLATOR_ECLIPSE_CHARCOAL,bid_volume_2,395
2,TRANSLATOR_ECLIPSE_CHARCOAL,bid_price_3,9842
2,TRANSLATOR_ECLIPSE_CHARCOAL,bid_volume_3,9842
2,TRANSLATOR_ECLIPSE_CHARCOAL,ask_price_2,373
2,TRANSLATOR_ECLIPSE_CHARCOAL,ask_volume_2,373
2,TRANSLATOR_ECLIPSE_CHARCOAL,ask_price_3,9858
2,TRANSLATOR_ECLIPSE_CHARCOAL,ask_volume_3,9858
2,TRANSLATOR_GRAPHITE_MIST,bid_price_2,234
2,TRANSLATOR_GRAPHITE_MIST,bid_volume_2,234
2,TRANSLATOR_GRAPHITE_MIST,bid_price_3,9839
2,TRANSLATOR_GRAPHITE_MIST,bid_volume_3,9839
2,TRANSLATOR_GRAPHITE_MIST,ask_price_2,194
2,TRANSLATOR_GRAPHITE_MIST,ask_volume_2,194
2,TRANSLATOR_GRAPHITE_MIST,ask_price_3,9859
2,TRANSLATOR_GRAPHITE_MIST,ask_volume_3,9859
2,TRANSLATOR_SPACE_GRAY,bid_price_2,291
2,TRANSLATOR_SPACE_GRAY,bid_volume_2,291
2,TRANSLATOR_SPACE_GRAY,bid_price_3,9840
2,TRANSLATOR_SPACE_GRAY,bid_volume_3,9840
2,TRANSLATOR_SPACE_GRAY,ask_price_2,314
2,TRANSLATOR_SPACE_GRAY,ask_volume_2,314
2,TRANSLATOR_SPACE_GRAY,ask_price_3,9857
2,TRANSLATOR_SPACE_GRAY,ask_volume_3,9857
2,TRANSLATOR_VOID_BLUE,bid_price_2,63
2,TRANSLATOR_VOID_BLUE,bid_volume_2,63
2,TRANSLATOR_VOID_BLUE,bid_price_3,9836
2,TRANSLATOR_VOID_BLUE,bid_volume_3,9836
2,TRANSLATOR_VOID_BLUE,ask_price_2,80
2,TRANSLATOR_VOID_BLUE,ask_volume_2,80
2,TRANSLATOR_VOID_BLUE,ask_price_3,9855
2,TRANSLATOR_VOID_BLUE,ask_volume_3,9855
2,UV_VISOR_AMBER,bid_price_3,9835
2,UV_VISOR_AMBER,bid_volume_3,9835
2,UV_VISOR_AMBER,ask_price_3,9854
2,UV_VISOR_AMBER,ask_volume_3,9854
2,UV_VISOR_MAGENTA,bid_price_3,9835
2,UV_VISOR_MAGENTA,bid_volume_3,9835
2,UV_VISOR_MAGENTA,ask_price_3,9854
2,UV_VISOR_MAGENTA,ask_volume_3,9854
2,UV_VISOR_ORANGE,bid_price_3,9835
2,UV_VISOR_ORANGE,bid_volume_3,9835
2,UV_VISOR_ORANGE,ask_price_3,9854
2,UV_VISOR_ORANGE,ask_volume_3,9854
2,UV_VISOR_RED,bid_price_3,9835
2,UV_VISOR_RED,bid_volume_3,9835
2,UV_VISOR_RED,ask_price_3,9854
2,UV_VISOR_RED,ask_volume_3,9854
2,UV_VISOR_YELLOW,bid_price_3,9835
2,UV_VISOR_YELLOW,bid_volume_3,9835
2,UV_VISOR_YELLOW,ask_price_3,9854
2,UV_VISOR_YELLOW,ask_volume_3,9854
3,GALAXY_SOUNDS_BLACK_HOLES,bid_price_3,9839
3,GALAXY_SOUNDS_BLACK_HOLES,bid_volume_3,9839
3,GALAXY_SOUNDS_BLACK_HOLES,ask_price_3,9825
3,GALAXY_SOUNDS_BLACK_HOLES,ask_volume_3,9825
3,GALAXY_SOUNDS_DARK_MATTER,bid_price_3,9839
3,GALAXY_SOUNDS_DARK_MATTER,bid_volume_3,9839
3,GALAXY_SOUNDS_DARK_MATTER,ask_price_3,9825
3,GALAXY_SOUNDS_DARK_MATTER,ask_volume_3,9825
3,GALAXY_SOUNDS_PLANETARY_RINGS,bid_price_3,9839
3,GALAXY_SOUNDS_PLANETARY_RINGS,bid_volume_3,9839
3,GALAXY_SOUNDS_PLANETARY_RINGS,ask_price_3,9825
3,GALAXY_SOUNDS_PLANETARY_RINGS,ask_volume_3,9825
3,GALAXY_SOUNDS_SOLAR_FLAMES,bid_price_3,9839
3,GALAXY_SOUNDS_SOLAR_FLAMES,bid_volume_3,9839
3,GALAXY_SOUNDS_SOLAR_FLAMES,ask_price_3,9825
3,GALAXY_SOUNDS_SOLAR_FLAMES,ask_volume_3,9825
3,GALAXY_SOUNDS_SOLAR_WINDS,bid_price_3,9839
3,GALAXY_SOUNDS_SOLAR_WINDS,bid_volume_3,9839
3,GALAXY_SOUNDS_SOLAR_WINDS,ask_price_3,9825
3,GALAXY_SOUNDS_SOLAR_WINDS,ask_volume_3,9825
3,MICROCHIP_CIRCLE,bid_price_2,1073
3,MICROCHIP_CIRCLE,bid_volume_2,1073
3,MICROCHIP_CIRCLE,bid_price_3,9886
3,MICROCHIP_CIRCLE,bid_volume_3,9886
3,MICROCHIP_CIRCLE,ask_price_2,1068
3,MICROCHIP_CIRCLE,ask_volume_2,1068
3,MICROCHIP_CIRCLE,ask_price_3,9860
3,MICROCHIP_CIRCLE,ask_volume_3,9860
3,MICROCHIP_OVAL,bid_price_2,1423
3,MICROCHIP_OVAL,bid_volume_2,1423
3,MICROCHIP_OVAL,bid_price_3,9896
3,MICROCHIP_OVAL,bid_volume_3,9896
3,MICROCHIP_OVAL,ask_price_2,1452
3,MICROCHIP_OVAL,ask_volume_2,1452
3,MICROCHIP_OVAL,ask_price_3,9879
3,MICROCHIP_OVAL,ask_volume_3,9879
3,MICROCHIP_RECTANGLE,bid_price_2,1638
3,MICROCHIP_RECTANGLE,bid_volume_2,1638
3,MICROCHIP_RECTANGLE,bid_price_3,9895
3,MICROCHIP_RECTANGLE,bid_volume_3,9895
3,MICROCHIP_RECTANGLE,ask_price_2,1700
3,MICROCHIP_RECTANGLE,ask_volume_2,1700
3,MICROCHIP_RECTANGLE,ask_price_3,9874
3,MICROCHIP_RECTANGLE,ask_volume_3,9874
3,MICROCHIP_SQUARE,bid_price_3,9875
3,MICROCHIP_SQUARE,bid_volume_3,9875
3,MICROCHIP_SQUARE,ask_price_3,9847
3,MICROCHIP_SQUARE,ask_volume_3,9847
3,MICROCHIP_TRIANGLE,bid_price_2,62
3,MICROCHIP_TRIANGLE,bid_volume_2,62
3,MICROCHIP_TRIANGLE,bid_price_3,9877
3,MICROCHIP_TRIANGLE,bid_volume_3,9877
3,MICROCHIP_TRIANGLE,ask_price_2,66
3,MICROCHIP_TRIANGLE,ask_volume_2,66
3,MICROCHIP_TRIANGLE,ask_price_3,9850
3,MICROCHIP_TRIANGLE,ask_volume_3,9850
3,OXYGEN_SHAKE_CHOCOLATE,bid_price_3,9839
3,OXYGEN_SHAKE_CHOCOLATE,bid_volume_3,9839
3,OXYGEN_SHAKE_CHOCOLATE,ask_price_3,9825
3,OXYGEN_SHAKE_CHOCOLATE,ask_volume_3,9825
3,OXYGEN_SHAKE_EVENING_BREATH,bid_price_3,9839
3,OXYGEN_SHAKE_EVENING_BREATH,bid_volume_3,9839
3,OXYGEN_SHAKE_EVENING_BREATH,ask_price_3,9825
3,OXYGEN_SHAKE_EVENING_BREATH,ask_volume_3,9825
3,OXYGEN_SHAKE_GARLIC,bid_price_3,9839
3,OXYGEN_SHAKE_GARLIC,bid_volume_3,9839
3,OXYGEN_SHAKE_GARLIC,ask_price_3,9825
3,OXYGEN_SHAKE_GARLIC,ask_volume_3,9825
3,OXYGEN_SHAKE_MINT,bid_price_3,9839
3,OXYGEN_SHAKE_MINT,bid_volume_3,9839
3,OXYGEN_SHAKE_MINT,ask_price_3,9825
3,OXYGEN_SHAKE_MINT,ask_volume_3,9825
3,OXYGEN_SHAKE_MORNING_BREATH,bid_price_3,9839
3,OXYGEN_SHAKE_MORNING_BREATH,bid_volume_3,9839
3,OXYGEN_SHAKE_MORNING_BREATH,ask_price_3,9825
3,OXYGEN_SHAKE_MORNING_BREATH,ask_volume_3,9825
3,PANEL_1X2,bid_price_3,9839
3,PANEL_1X2,bid_volume_3,9839
3,PANEL_1X2,ask_price_3,9825
3,PANEL_1X2,ask_volume_3,9825
3,PANEL_1X4,bid_price_2,544
3,PANEL_1X4,bid_volume_2,544
3,PANEL_1X4,bid_price_3,9855
3,PANEL_1X4,bid_volume_3,9855
3,PANEL_1X4,ask_price_2,541
3,PANEL_1X4,ask_volume_2,541
3,PANEL_1X4,ask_price_3,9833
3,PANEL_1X4,ask_volume_3,9833
3,PANEL_2X2,bid_price_2,117
3,PANEL_2X2,bid_volume_2,117
3,PANEL_2X2,bid_price_3,9839
3,PANEL_2X2,bid_volume_3,9839
3,PANEL_2X2,ask_price_2,120
3,PANEL_2X2,ask_volume_2,120
3,PANEL_2X2,ask_price_3,9825
3,PANEL_2X2,ask_volume_3,9825
3,PANEL_2X4,bid_price_3,9839
3,PANEL_2X4,bid_volume_3,9839
3,PANEL_2X4,ask_price_3,9825
3,PANEL_2X4,ask_volume_3,9825
3,PANEL_4X4,bid_price_2,450
3,PANEL_4X4,bid_volume_2,450
3,PANEL_4X4,bid_price_3,9844
3,PANEL_4X4,bid_volume_3,9844
3,PANEL_4X4,ask_price_2,452
3,PANEL_4X4,ask_volume_2,452
3,PANEL_4X4,ask_price_3,9835
3,PANEL_4X4,ask_volume_3,9835
3,PEBBLES_L,bid_price_3,9856
3,PEBBLES_L,bid_volume_3,9856
3,PEBBLES_L,ask_price_3,9865
3,PEBBLES_L,ask_volume_3,9865
3,PEBBLES_M,bid_price_3,9856
3,PEBBLES_M,bid_volume_3,9856
3,PEBBLES_M,ask_price_3,9865
3,PEBBLES_M,ask_volume_3,9865
3,PEBBLES_S,bid_price_3,9856
3,PEBBLES_S,bid_volume_3,9856
3,PEBBLES_S,ask_price_3,9865
3,PEBBLES_S,ask_volume_3,9865
3,PEBBLES_XL,bid_price_3,9856
3,PEBBLES_XL,bid_volume_3,9856
3,PEBBLES_XL,ask_price_3,9865
3,PEBBLES_XL,ask_volume_3,9865
3,PEBBLES_XS,bid_price_2,242
3,PEBBLES_XS,bid_volume_2,242
3,PEBBLES_XS,bid_price_3,9860
3,PEBBLES_XS,bid_volume_3,9860
3,PEBBLES_XS,ask_price_2,227
3,PEBBLES_XS,ask_volume_2,227
3,PEBBLES_XS,ask_price_3,9869
3,PEBBLES_XS,ask_volume_3,9869
3,ROBOT_DISHES,bid_price_2,2421
3,ROBOT_DISHES,bid_volume_2,2421
3,ROBOT_DISHES,bid_price_3,9880
3,ROBOT_DISHES,bid_volume_3,9880
3,ROBOT_DISHES,ask_price_2,2428
3,ROBOT_DISHES,ask_volume_2,2428
3,ROBOT_DISHES,ask_price_3,9863
3,ROBOT_DISHES,ask_volume_3,9863
3,ROBOT_IRONING,bid_price_2,2689
3,ROBOT_IRONING,bid_volume_2,2689
3,ROBOT_IRONING,bid_price_3,9880
3,ROBOT_IRONING,bid_volume_3,9880
3,ROBOT_IRONING,ask_price_2,2669
3,ROBOT_IRONING,ask_volume_2,2669
3,ROBOT_IRONING,ask_price_3,9886
3,ROBOT_IRONING,ask_volume_3,9886
3,ROBOT_LAUNDRY,bid_price_2,1770
3,ROBOT_LAUNDRY,bid_volume_2,1770
3,ROBOT_LAUNDRY,bid_price_3,9874
3,ROBOT_LAUNDRY,bid_volume_3,9874
3,ROBOT_LAUNDRY,ask_price_2,1874
3,ROBOT_LAUNDRY,ask_volume_2,1874
3,ROBOT_LAUNDRY,ask_price_3,9857
3,ROBOT_LAUNDRY,ask_volume_3,9857
3,ROBOT_MOPPING,bid_price_2,1157
3,ROBOT_MOPPING,bid_volume_2,1157
3,ROBOT_MOPPING,bid_price_3,9854
3,ROBOT_MOPPING,bid_volume_3,9854
3,ROBOT_MOPPING,ask_price_2,1176
3,ROBOT_MOPPING,ask_volume_2,1176
3,ROBOT_MOPPING,ask_price_3,9853
3,ROBOT_MOPPING,ask_volume_3,9853
3,ROBOT_VACUUMING,bid_price_2,2683
3,ROBOT_VACUUMING,bid_volume_2,2683
3,ROBOT_VACUUMING,bid_price_3,9889
3,ROBOT_VACUUMING,bid_volume_3,9889
3,ROBOT_VACUUMING,ask_price_2,2596
3,ROBOT_VACUUMING,ask_volume_2,2596
3,ROBOT_VACUUMING,ask_price_3,9874
3,ROBOT_VACUUMING,ask_volume_3,9874
3,SLEEP_POD_COTTON,bid_price_3,9839
3,SLEEP_POD_COTTON,bid_volume_3,9839
3,SLEEP_POD_COTTON,ask_price_3,9825
3,SLEEP_POD_COTTON,ask_volume_3,9825
3,SLEEP_POD_LAMB_WOOL,bid_price_2,9
3,SLEEP_POD_LAMB_WOOL,bid_volume_2,9
3,SLEEP_POD_LAMB_WOOL,bid_price_3,9839
3,SLEEP_POD_LAMB_WOOL,bid_volume_3,9839
3,SLEEP_POD_LAMB_WOOL,ask_price_2,5
3,SLEEP_POD_LAMB_WOOL,ask_volume_2,5
3,SLEEP_POD_LAMB_WOOL,ask_price_3,9825
3,SLEEP_POD_LAMB_WOOL,ask_volume_3,9825
3,SLEEP_POD_NYLON,bid_price_2,774
3,SLEEP_POD_NYLON,bid_volume_2,774
3,SLEEP_POD_NYLON,bid_price_3,9854
3,SLEEP_POD_NYLON,bid_volume_3,9854
3,SLEEP_POD_NYLON,ask_price_2,795
3,SLEEP_POD_NYLON,ask_volume_2,795
3,SLEEP_POD_NYLON,ask_price_3,9837
3,SLEEP_POD_NYLON,ask_volume_3,9837
3,SLEEP_POD_POLYESTER,bid_price_3,9839
3,SLEEP_POD_POLYESTER,bid_volume_3,9839
3,SLEEP_POD_POLYESTER,ask_price_3,9825
3,SLEEP_POD_POLYESTER,ask_volume_3,9825
3,SLEEP_POD_SUEDE,bid_price_3,9839
3,SLEEP_POD_SUEDE,bid_volume_3,9839
3,SLEEP_POD_SUEDE,ask_price_3,9825
3,SLEEP_POD_SUEDE,ask_volume_3,9825
3,SNACKPACK_CHOCOLATE,bid_price_3,9839
3,SNACKPACK_CHOCOLATE,bid_volume_3,9839
3,SNACKPACK_CHOCOLATE,ask_price_3,9825
3,SNACKPACK_CHOCOLATE,ask_volume_3,9825
3,SNACKPACK_PISTACHIO,bid_price_3,9839
3,SNACKPACK_PISTACHIO,bid_volume_3,9839
3,SNACKPACK_PISTACHIO,ask_price_3,9825
3,SNACKPACK_PISTACHIO,ask_volume_3,9825
3,SNACKPACK_RASPBERRY,bid_price_3,9839
3,SNACKPACK_RASPBERRY,bid_volume_3,9839
3,SNACKPACK_RASPBERRY,ask_price_3,9825
3,SNACKPACK_RASPBERRY,ask_volume_3,9825
3,SNACKPACK_STRAWBERRY,bid_price_3,9839
3,SNACKPACK_STRAWBERRY,bid_volume_3,9839
3,SNACKPACK_STRAWBERRY,ask_price_3,9825
3,SNACKPACK_STRAWBERRY,ask_volume_3,9825
3,SNACKPACK_VANILLA,bid_price_3,9839
3,SNACKPACK_VANILLA,bid_volume_3,9839
3,SNACKPACK_VANILLA,ask_price_3,9825
3,SNACKPACK_VANILLA,ask_volume_3,9825
3,TRANSLATOR_ASTRO_BLACK,bid_price_2,968
