i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,20,snackpack,snackpack,-0.4406425993454935,14262.243226894845,0.009017300744965914,426.76529595540535,1.4398035123944584,539.3089927723231,0.557933291641593,330.53035739130246,0.557933291641593
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,100,snackpack,snackpack,-0.407147197650321,13944.719702171635,0.0029977988644704894,452.6126593908789,1.5312775962207106,560.7967302366978,0.591572669842488,346.4068433621269,0.591572669842488
PEBBLES_XL,PANEL_2X4,1,pebbles,panel,2.4820760435062317,-14735.725533064964,0.0007395910078968538,602.718075416015,1.7469537977052807,5142.848404015553,2.332624668226833,5840.566929998837,1.7469537977052807
PEBBLES_XL,PANEL_2X4,5,pebbles,panel,2.482227230783029,-14736.627433039512,0.0007638721509628662,600.6601610798477,1.7454708040478666,5163.668461174093,2.3286690928454057,5912.130770392856,1.7454708040478666
PEBBLES_XL,PANEL_2X4,20,pebbles,panel,2.4826780489833116,-14738.740593613664,0.0006841778950667936,596.6324216084749,1.706298117421372,5118.559490614967,1.9455700505244347,4863.64147329202,1.706298117421372
PEBBLES_XL,PANEL_2X4,100,pebbles,panel,2.4836375314050287,-14734.160489337817,0.0005179794217657819,576.7824762327642,1.5016367100138694,4709.979896102588,2.401478634094641,5889.062473883929,1.5016367100138694
PANEL_2X4,PEBBLES_XL,1,panel,pebbles,0.309330121132573,7174.371327549632,0.000634066539455699,585.5415365217357,1.8707030491443228,2103.503817174571,1.8409257868696274,2066.6270534948544,1.8409257868696274
PANEL_2X4,PEBBLES_XL,5,panel,pebbles,0.3092340069776027,7175.927154712559,0.0007298983773577191,583.4038777417818,1.7520421704694293,1976.1052440392905,1.8132000916692461,2050.951036415365,1.7520421704694293
PANEL_2X4,PEBBLES_XL,20,panel,pebbles,0.3088604927086312,7181.9109786943945,0.0004954587461763067,586.4037289955778,1.2986843035193536,1428.0546726205612,1.4916151065455545,1650.4243236151706,1.2986843035193536
PANEL_2X4,PEBBLES_XL,100,panel,pebbles,0.3075234552606712,7205.10780576041,0.0006259666546010978,601.0237294063318,2.058800097657468,2241.216533583234,1.0870130027181255,1154.4584166198401,1.0870130027181255
TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,1,translator,sleep_pod,-0.5307839844057307,15493.887662403335,0.005375490089396393,834.6400473660594,1.657778790892376,1239.0896906355756,1.0727345052302002,388.21836484995765,1.0727345052302002
TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,20,translator,sleep_pod,-0.5339680362694506,15527.804897537919,0.008034281627515951,816.9270793599808,1.6671608075676816,1243.492655199485,0.9183169878563904,385.7853789740948,0.9183169878563904
TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,100,translator,sleep_pod,-0.5435586605731771,15629.520542705448,0.007130314120969152,805.6943968065057,1.6685859133569383,1208.8442572895365,1.0408333543940977,393.09215129201584,1.0408333543940977
TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,1,translator,panel,-0.35426865053127826,12974.769710486617,0.012735137691199761,972.6159515324514,2.002912657898107,937.9082386853624,0.935820926316091,401.09570200590315,0.935820926316091
TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,5,translator,panel,-0.35462806142040176,12977.917357773029,0.015241708045779366,977.0113063243077,2.007295782849592,934.900908675625,0.951885572169457,408.5019867178453,0.951885572169457
TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,20,translator,panel,-0.3559039252245703,12989.08737985738,0.016638874881727574,982.0819488167242,1.999476463806875,941.3282179431881,0.9385023628965946,400.2741839261944,0.9385023628965946
TRANSLATOR_ECLIPSE_CHARCOAL,PANEL_1X2,100,translator,panel,-0.362584721665881,13047.433376159097,0.015572380796151756,938.6070773858324,2.3873366876475886,903.6451867140368,0.9284889179172584,392.6238598117943,0.9284889179172584
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,1,sleep_pod,translator,-0.7159367125345051,17727.48533024148,0.002696921327295671,835.9460792823952,1.279556849256475,484.1529698073955,1.1699695034746036,844.7870905179425,1.1699695034746036
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,5,sleep_pod,translator,-0.7149291554981798,17717.704236984522,0.0024626783501712083,827.1231581467073,1.9890566480136498,993.9909456451096,1.1304715146801838,826.2586567705675,1.1304715146801838
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,20,sleep_pod,translator,-0.7113355700118617,17682.866306513784,0.0038585740542136713,838.5642527196477,1.2604002798447365,494.98327504322697,0.5532785465652594,420.0865300928108,0.5532785465652594
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,100,sleep_pod,translator,-0.691788660586341,17493.402899740624,0.003736533935379447,861.208414162633,1.3378657888511545,514.5152114931625,1.1550183764286852,818.5872633993622,1.1550183764286852
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,1,sleep_pod,microchip,0.4516242770887284,5257.749218242207,0.00858264913450568,815.0635780122585,1.7577158758451235,595.1975576737786,1.6791226943673476,1147.6665061333624,1.6791226943673476
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,5,sleep_pod,microchip,0.45161412370049897,5258.074918911748,0.009464215515248614,817.9379033543344,1.737632816498274,588.9197478315618,1.768146389061058,1176.6277300115653,1.737632816498274
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,20,sleep_pod,microchip,0.4515564561361945,5259.570197700354,0.009095208598160737,824.3003613758785,1.5676611891590087,589.755664067623,1.84102171160034,1110.5626265987285,1.5676611891590087
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,100,sleep_pod,microchip,0.4511103530416515,5269.195933417363,0.010236881919097171,801.8151454526939,2.6776323632112153,1193.245577320853,1.3319427212551536,620.7535698510055,1.3319427212551536
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,1,microchip,sleep_pod,1.8677787000111792,-7692.96589523037,0.005885621751774967,808.3914263278023,1.5846432639934065,1168.304113452723,1.7419467121298864,2884.18676091461,1.5846432639934065
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,5,microchip,sleep_pod,1.8670373395927784,-7683.937480383369,0.011215864706694254,805.6663522797999,1.5163767867936566,1178.820256134506,1.9011676706557825,2964.8965163845314,1.5163767867936566
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,20,microchip,sleep_pod,1.864258363987241,-7650.059386742636,0.005981719126614011,819.6196535039094,1.5597578203852018,1143.7134674199515,1.8711252790388937,2946.897667805919,1.5597578203852018
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,100,microchip,sleep_pod,1.8491788283254749,-7466.61592831549,0.006707576836694111,845.2215638318196,2.437415738002815,2479.774358656159,2.3844793031980305,3503.2219824580025,2.3844793031980305
ROBOT_IRONING,SNACKPACK_PISTACHIO,1,robot,snackpack,3.187580023317318,-21567.276068616477,0.014482516868783248,852.8963262514715,0.9645776824899495,1087.741036493877,1.5745500258185972,2533.8597937805316,0.9645776824899495
ROBOT_IRONING,SNACKPACK_PISTACHIO,5,robot,snackpack,3.1878405489502906,-21570.08361929973,0.013663327591871006,849.6316324720025,0.9552400222465454,1085.9351873931482,1.5860214865997055,2553.9198441551525,0.9552400222465454
ROBOT_IRONING,SNACKPACK_PISTACHIO,20,robot,snackpack,3.1891784028978445,-21584.091457267623,0.014440974664775773,854.7210601650967,0.9560573465031604,1087.1593307606854,1.3372495651358718,2009.6294831184714,0.9560573465031604
ROBOT_IRONING,SNACKPACK_PISTACHIO,100,robot,snackpack,3.198068741664267,-21675.710178158162,0.023169233845153184,864.8335942112121,0.4974794917517306,555.6040920411724,1.768295830507486,2651.9910322818287,0.4974794917517306
SNACKPACK_PISTACHIO,ROBOT_IRONING,1,snackpack,robot,0.18846606701423435,7855.870910333828,0.0011351403891325103,606.1546966406082,1.6532433995398024,677.9672444379339,0.8530265244010755,271.07669664928653,0.8530265244010755
SNACKPACK_PISTACHIO,ROBOT_IRONING,5,snackpack,robot,0.18837029032400815,7856.615093226784,0.0011588294761280412,610.8442127234099,1.6758907989102998,690.11397161473,0.8313216236426004,263.3140796773205,0.8313216236426004
SNACKPACK_PISTACHIO,ROBOT_IRONING,20,snackpack,robot,0.18803133380017967,7859.236047065387,0.0009773183816059404,608.4337075631258,1.6558106074576682,682.1801072642302,0.8460514397317823,269.31638630928865,0.8460514397317823
SNACKPACK_PISTACHIO,ROBOT_IRONING,100,snackpack,robot,0.18627763607876166,7872.729885405478,0.0013092103748520833,609.0783152503303,1.7998869653202132,729.7742613032351,0.9040180024947843,276.73004357721766,0.9040180024947843
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,1,galaxy_sounds,pebbles,-1.0179829712021022,20559.937409828195,0.006921611489664292,839.7691061761055,1.72570865010362,1961.4100851439907,1.198831362797103,1723.7088593508543,1.198831362797103
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,5,galaxy_sounds,pebbles,-1.0181740113867235,20561.95579944951,0.01123360437436235,822.3145146052991,1.669900481574869,1916.7916429296474,1.226656368604638,1792.630937913771,1.226656368604638
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,20,galaxy_sounds,pebbles,-1.0189105238060594,20569.713281920063,0.011619515926035473,833.9397901821977,1.4356718703201132,1557.5704219059407,1.2092817454234712,1763.6707556159017,1.2092817454234712
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,100,galaxy_sounds,pebbles,-1.021242968917232,20597.390855000358,0.006175297660089021,766.0045862029239,1.7637577195788936,1798.255705857453,1.1505705721060788,1698.3496255035952,1.1505705721060788
PEBBLES_XL,TRANSLATOR_VOID_BLUE,1,pebbles,translator,2.4821523638133995,-13726.893152662577,0.01560105730765466,923.8887722892409,2.056849312279824,5079.293813969016,0.3649710229122965,899.4208834776473,0.3649710229122965
PEBBLES_XL,TRANSLATOR_VOID_BLUE,5,pebbles,translator,2.4814846936665385,-13718.979497945244,0.016077929826914063,917.5152156981313,2.4245549476981014,6167.873558464038,0.35342446663151683,876.111568847482,0.35342446663151683
PEBBLES_XL,TRANSLATOR_VOID_BLUE,100,pebbles,translator,2.4618437707835557,-13490.932731056488,0.04135760742067031,941.0995149193409,1.9412801770292545,4829.969063096567,0.18983830487535153,455.5044195576302,0.18983830487535153
TRANSLATOR_VOID_BLUE,PEBBLES_XL,1,translator,pebbles,0.26389975866550547,7368.403129270964,0.018239855290042517,890.3048535748998,0.5843175617200755,700.33438501604,0.8415438476139881,861.2787614289282,0.5843175617200755
TRANSLATOR_VOID_BLUE,PEBBLES_XL,5,translator,pebbles,0.26389325253814083,7368.701185446947,0.012493275299538701,883.6873647423378,0.5564459947321864,679.5835904852993,1.3255142293541555,1243.6957716004963,0.5564459947321864
TRANSLATOR_VOID_BLUE,PEBBLES_XL,20,translator,pebbles,0.2638409171253719,7370.171232495836,0.025853017973262775,881.9309490400532,0.5289719455183114,654.8749373769188,1.377643607457874,1283.5461408008796,0.5289719455183114
TRANSLATOR_VOID_BLUE,PEBBLES_XL,100,translator,pebbles,0.26320963933127783,7382.80711912763,0.011731141867650447,889.5703858149396,0.8945990078965577,1095.1199327504182,2.569327241148902,2106.1482150643533,0.8945990078965577
PEBBLES_M,ROBOT_IRONING,1,pebbles,robot,-0.7284352781218678,16601.803879151346,0.0028601302254436193,725.3636089100856,1.366596987246718,1781.738691966024,1.110955219850254,541.490469468532,1.110955219850254
PEBBLES_M,ROBOT_IRONING,5,pebbles,robot,-0.7284392640470874,16601.955772478315,0.003653083606084122,715.5225175560572,1.3535291212008802,1768.4670185971972,1.1677800230121023,554.3439264047101,1.1677800230121023
PEBBLES_M,ROBOT_IRONING,20,pebbles,robot,-0.728455173325091,16602.54056515899,0.002386523121269724,725.3507635525438,1.3584601724994392,1768.7113109280563,1.1414691059934348,552.8455173325092,1.1414691059934348
PEBBLES_M,ROBOT_IRONING,100,pebbles,robot,-0.7289481998161417,16609.41297806013,0.005972566466668373,733.59111656282,1.4476769583339328,1840.4742578731366,1.0928854332992635,544.1053379834539,1.0928854332992635
ROBOT_IRONING,PEBBLES_M,1,robot,pebbles,-0.9153579313738259,18096.05464595134,0.005988714202475375,829.9207601310436,1.1807270419011036,1346.3427311733903,1.4734249919781863,1697.8262064581231,1.1807270419011036
ROBOT_IRONING,PEBBLES_M,5,robot,pebbles,-0.9153750089182504,18096.00183821018,0.005700191436126806,826.8377695377927,1.1672790194309253,1337.060199454916,1.9409590125685332,2313.6343930594576,1.1672790194309253
ROBOT_IRONING,PEBBLES_M,20,robot,pebbles,-0.9153772052671039,18095.13357057347,0.009683450600369795,815.2454698800211,1.1645479023158913,1330.4052623948628,1.8883386144671235,2244.277620839399,1.1645479023158913
ROBOT_IRONING,PEBBLES_M,100,robot,pebbles,-0.915306293105909,18089.46446260394,0.005119803597513802,803.1259974313233,1.4313607630465675,1601.5920551755626,1.9338388147311951,2410.265165134635,1.4313607630465675
OXYGEN_SHAKE_GARLIC,PEBBLES_S,1,oxygen_shake,pebbles,-1.0114089992229083,20959.999133310717,0.006724660610606223,763.2274914011592,2.5586944102107037,2912.9765908436857,1.0149156481979438,1272.7458602789156,1.0149156481979438
OXYGEN_SHAKE_GARLIC,PEBBLES_S,5,oxygen_shake,pebbles,-1.0113818820013512,20960.12815840001,0.005400487246338986,764.3501056866639,2.5810195919012062,2897.1793452649217,1.0341246025259625,1310.1373141074891,1.0341246025259625
OXYGEN_SHAKE_GARLIC,PEBBLES_S,20,oxygen_shake,pebbles,-1.0112450440377352,20960.311151434107,0.004524061467368716,756.2426135660903,2.55838176409216,2856.225789627093,0.9388838266809837,1209.1136638194184,0.9388838266809837
OXYGEN_SHAKE_GARLIC,PEBBLES_S,100,oxygen_shake,pebbles,-1.0104832895891487,20961.44090806879,0.0018471963679302231,703.9294066808683,2.32134333998419,2797.996970779017,2.04083863776631,2406.989685389708,2.04083863776631
PEBBLES_S,OXYGEN_SHAKE_GARLIC,1,pebbles,oxygen_shake,-0.7727027691234808,18147.245521101402,0.0030058039452834718,692.2391456803109,1.9430633609611714,1840.2941192792587,1.4027173548152976,1834.937001054439,1.4027173548152976
PEBBLES_S,OXYGEN_SHAKE_GARLIC,5,pebbles,oxygen_shake,-0.7727200834350947,18147.107658276203,0.002782096425600468,692.6991652607624,2.052321560770172,1857.2218232438026,1.3751566079700046,1773.4668015232164,1.3751566079700046
PEBBLES_S,OXYGEN_SHAKE_GARLIC,20,pebbles,oxygen_shake,-0.7727237760193734,18145.83491576894,0.0034362422243673315,705.5276816552174,1.9320630682018818,1849.5189350930104,1.6944690758386105,2200.2443265914353,1.6944690758386105
PEBBLES_S,OXYGEN_SHAKE_GARLIC,100,pebbles,oxygen_shake,-0.7718228093270282,18127.722946312624,0.003671536310447342,724.8548770001651,1.6467463442826162,1458.9466997744912,1.5069030203317388,1887.216419189781,1.5069030203317388
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,1,galaxy_sounds,microchip,-0.3822618721279026,13749.153717392823,0.012909161505151595,856.4640110298958,0.9496260449680445,739.586590744273,1.3100807064308635,602.46321164236,0.9496260449680445
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,5,galaxy_sounds,microchip,-0.382383996399042,13750.252348469885,0.009557686931847451,850.8820669430612,0.9808119652883178,756.0002782625397,1.3403468967731993,622.0176716561109,0.9808119652883178
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,20,galaxy_sounds,microchip,-0.3830073662481682,13755.889935135174,0.014717854413069062,866.1927332954966,0.9930210123671757,766.704965819763,1.288627950345602,569.8712090331974,0.9930210123671757
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,100,galaxy_sounds,microchip,-0.38620785225726606,13784.875282466186,0.013293634871648578,861.548039542252,0.9438839718246402,738.0900785499689,0.5555589017451946,242.31402772915862,0.5555589017451946
PEBBLES_XL,ROBOT_DISHES,1,pebbles,robot,2.5606967263658706,-12428.06846030326,0.003118294748458553,468.2106078677808,0.825954678035594,1433.6439950600834,0.9041420692153763,4016.2599382339613,0.825954678035594
PEBBLES_XL,ROBOT_DISHES,5,pebbles,robot,2.5614599343393354,-12434.873479647302,0.002122577982949305,464.7459054902153,0.8749365972666204,1485.2627606698588,0.8790033821206433,3903.8389736441677,0.8749365972666204
PEBBLES_XL,ROBOT_DISHES,20,pebbles,robot,2.564397695004785,-12461.145043671999,0.0018115927422866088,460.61105396693296,1.4115902331263845,2864.293708952686,0.8242741200729921,3847.877455403217,0.8242741200729921
PEBBLES_XL,ROBOT_DISHES,100,pebbles,robot,2.580310373321849,-12603.173905101849,0.0010347933828370583,440.7503797684629,0.8589540479642582,1419.3186713737523,1.101498656160148,5093.652665515834,0.8589540479642582
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,1,sleep_pod,uv_visor,-0.9225733259659191,19139.766267343028,0.003244531099810751,814.2867973310238,2.314739645633913,1992.2534919777281,1.778417770258076,1616.7950885620921,1.778417770258076
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,5,sleep_pod,uv_visor,-0.922343009134443,19138.28450459743,0.004830881067553856,814.1458192235326,2.2025954078941496,1927.6907019773826,1.8240209237526193,1648.307389843465,1.8240209237526193
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,20,sleep_pod,uv_visor,-0.9214745708124291,19132.670249221734,0.0064751479766531955,810.2053374456563,2.285796396901264,1936.3045079396215,1.7320960937190475,1674.380965391907,1.7320960937190475
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,100,sleep_pod,uv_visor,-0.9159057482909352,19095.564289887556,0.007213626584189426,819.522122169155,2.052428178536342,1496.7955095721172,1.836047929499616,1752.820405444807,1.836047929499616
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,1,uv_visor,sleep_pod,-0.959518962160613,19272.865267578487,0.005417142263557876,847.5066608783808,1.168399173013791,1294.1237157162268,1.2312438121753084,1045.4551157622773,1.168399173013791
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,5,uv_visor,sleep_pod,-0.9593041446890244,19270.02541757595,0.004868210202757882,861.1350665848953,1.1832027790495996,1301.6457208019674,1.1644318677238479,1000.2351640539655,1.1644318677238479
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,20,uv_visor,sleep_pod,-0.9584839001822808,19259.19503065382,0.007202129532666978,844.2214218180991,1.0755238504336255,1204.3639697645267,1.2454835641644526,1063.4972696214736,1.0755238504336255
UV_VISOR_AMBER,SLEEP_POD_POLYESTER,100,uv_visor,sleep_pod,-0.9552593780062485,19215.393329985007,0.013520866637985917,825.3382657750267,1.377355600452301,1534.7027223477253,1.293965566257503,1070.3229448540496,1.293965566257503
ROBOT_MOPPING,PANEL_1X4,100,robot,panel,-0.8041442303919017,18661.303745600962,0.01901556512323047,985.4678982751122,1.20836203149525,1024.562340958073,1.429806539416366,520.6286007768358,1.20836203149525
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,1,pebbles,galaxy_sounds,-0.7694153339426255,17755.05730162346,0.0035463070154324676,725.6910806084979,2.0592346583797325,2191.866216796243,1.181342065609964,1491.848662944656,1.181342065609964
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,5,pebbles,galaxy_sounds,-0.7693413888529935,17753.863113292795,0.003800206031983017,725.022539695447,1.6383123648918891,1763.4823182517066,1.5310341123577753,1887.792354791207,1.5310341123577753
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,20,pebbles,galaxy_sounds,-0.7690102978088632,17748.75572133899,0.001640120906017947,724.8978605156415,1.9607615552386943,2109.293232969334,1.5892074426638727,1902.2515853199166,1.5892074426638727
PEBBLES_S,GALAXY_SOUNDS_BLACK_HOLES,100,pebbles,galaxy_sounds,-0.76798793945877,17729.4059141757,0.0015010335410080033,761.4836081656716,1.5617991088433016,1797.4949442255966,2.13303475236792,2677.660821570342,1.5617991088433016
ROBOT_DISHES,PEBBLES_XL,1,robot,pebbles,0.25137865026853234,6693.708537260072,0.009186119637016264,395.0575366799676,1.157597689958573,718.9640980773456,0.5531060584031432,1389.4535046687524,0.5531060584031432
ROBOT_DISHES,PEBBLES_XL,5,robot,pebbles,0.25140086444172516,6693.5126184994715,0.006942609518591551,396.3720661327248,1.1839469643420684,750.5273766642622,0.5289355731825863,1333.0817416156515,0.5289355731825863
ROBOT_DISHES,PEBBLES_XL,20,robot,pebbles,0.2515120412312064,6692.405070493359,0.013836104236268727,401.33139264370135,0.6150185251496473,328.35096751610035,0.5118698303908431,1275.7874066857457,0.5118698303908431
