product,group,ic_lag1,ic_lag2,ic_lag5,ic_lag10,ic_lag50,top_ic_after_lag1,top_lag_after_lag1,sign_switch_lag,sign_switch_ic
ROBOT_LAUNDRY,robot,0.004351125349228197,0.000941754010551088,-0.0038144233138409298,-0.005134747659506166,-0.009342238805970765,-0.020304150963500144,37,37,-0.020304150963500144
ROBOT_MOPPING,robot,-0.009872037393824327,-0.015741962932732945,-0.0037549248025272623,0.006338154815856722,0.0013949794571964864,-0.015741962932732945,2,-1,
ROBOT_VACUUMING,robot,-0.007754093090041161,0.0019069122782807498,-0.002293910188840781,-0.005800671039288935,-0.007381286484413156,0.01609770364833112,52,-1,
SLEEP_POD_COTTON,sleep_pod,-0.003352844002448298,-0.010767003202193507,0.010180526191666166,0.0006705536489218767,-0.0005871598635657564,-0.015064182009053094,95,-1,
SLEEP_POD_LAMB_WOOL,sleep_pod,0.0045327114499414305,0.008202069077237811,0.0002831377257370749,0.0003097791813400452,0.00914598618047396,-0.017237409577998013,16,-1,
SLEEP_POD_NYLON,sleep_pod,0.000216074922280401,-0.0005534941052231344,-0.005011619945611821,0.00023923333731579576,0.009294168380853044,0.015044631941315036,59,-1,
SLEEP_POD_POLYESTER,sleep_pod,-0.0018016472670653659,-0.0033430024587158894,0.005240920029562339,-0.0009300175948465003,-0.0017600677739724418,0.017111748319215154,82,-1,
SLEEP_POD_SUEDE,sleep_pod,-0.0039447455836341275,-0.0032001728427992577,0.005525807742367997,-0.015769318037297638,-0.0015772132984596264,-0.015769318037297638,10,-1,
SNACKPACK_CHOCOLATE,snackpack,-0.029222043923253904,-0.00025492235111101514,-0.0019491753251432713,0.010921882169263684,0.006479994131293643,0.016628239749285015,91,-1,
SNACKPACK_PISTACHIO,snackpack,-0.02207056354135905,0.007370706653677003,0.008776528895532293,-0.009770234151000807,-0.00459409939085201,-0.014747642045259225,43,-1,
SNACKPACK_RASPBERRY,snackpack,-0.01632832230921571,0.009454611159831105,0.00375393040690222,-0.01271926597188861,-0.0024561499123586248,-0.016633780012759312,43,-1,
SNACKPACK_STRAWBERRY,snackpack,-0.012573628986787062,0.010727090038994067,0.004717593893390079,-0.007262566427723748,-0.005107327254820272,-0.01729648802297733,43,-1,
SNACKPACK_VANILLA,snackpack,-0.024263154708960077,-0.0047704482141225635,-0.0014246652446633845,0.010958624600511786,0.007208306886478539,0.015333426228348395,99,-1,
TRANSLATOR_ASTRO_BLACK,translator,-0.0033858864790557368,0.0054103962074599585,0.00036994418867478454,-0.00994441495410038,-0.008636446741910045,-0.015845352284727342,62,-1,
TRANSLATOR_ECLIPSE_CHARCOAL,translator,-0.006055022025342399,0.000803176086159016,-0.007210001739347954,-0.009792535089579975,0.0034280709587341087,0.017440080714591556,46,-1,
TRANSLATOR_GRAPHITE_MIST,translator,-0.0032563539644523665,-0.0012627912572692026,0.0006014891473000661,0.000407510352254664,-0.0020297916564338226,0.014206189418412675,20,-1,
TRANSLATOR_SPACE_GRAY,translator,0.008485239181828407,0.007830628487298416,-0.0016113705115495846,-0.00892297109581337,-0.0009824552029612844,-0.018262844261092565,67,-1,
TRANSLATOR_VOID_BLUE,translator,-0.008119713091098388,-0.0030723329323804937,0.00028552270539725604,-0.004454507911003363,0.0005881538819499112,-0.01403247728846098,53,-1,
UV_VISOR_AMBER,uv_visor,-0.006692173302173666,-0.0006585907115889916,0.004516681404592379,0.006575881937337992,0.0174116295999072,0.0174116295999072,50,-1,
UV_VISOR_MAGENTA,uv_visor,-0.0031249535075743335,0.00384750560499804,0.0029310758005174917,-0.007564258604788946,0.0029008258626403573,-0.017248074291662748,98,-1,
UV_VISOR_ORANGE,uv_visor,0.0008043627093485879,0.01379066814345181,-0.003539791279041572,0.007908659194833708,0.0023112671921075504,-0.01961087283415668,58,-1,
UV_VISOR_RED,uv_visor,-0.0018716357766729687,-0.0009509725201298836,-0.008975263338199101,-0.0015051481553642189,0.0075613439156603035,0.014199524274583368,36,-1,
UV_VISOR_YELLOW,uv_visor,0.0023877707002634236,0.0012444950230880276,0.005326143694130635,0.0038333088632431524,0.001635860669037132,-0.02007434154836615,41,41,-0.02007434154836615
