product,group,f_stat,oos_corr_2to3,oos_corr_2to4,oos_corr_3to4,cross_day_avg_corr,max_abs_mean_ret_d2
OXYGEN_SHAKE_MINT,oxygen_shake,1.094074142781533,-0.15338255704420278,0.07425275500049301,0.12005631001575502,0.013642169324015083,2.37
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shake,0.8405756724707415,0.03963167377594558,-0.02369146739276024,0.0057881838398153055,0.007242796741000215,2.48
PANEL_1X2,panel,1.095613143461253,0.02925021154926901,-0.09980087688683635,-0.03298509293714226,-0.034511919424903205,2.315
PANEL_1X4,panel,1.2146323805261074,0.12714138442461484,0.02923148021341513,0.11519600181854378,0.09052295548552458,3.285
PANEL_2X2,panel,1.1170460142670506,0.06208604819088878,-0.09248515316475422,-0.001541384810261717,-0.010646829928042388,3.12
PANEL_2X4,panel,1.106067643269861,-0.10010469638445854,-0.12019401289708061,-0.0001403577787713284,-0.0734796890201035,3.415
PANEL_4X4,panel,1.1458549517892067,-0.05982210318480257,-0.017310548375931656,0.05736178548336522,-0.006590288692456338,3.23
PEBBLES_L,pebbles,1.1213844883304966,0.009587729124572246,-0.08025003315945643,0.022367732895511885,-0.016098190379790767,4.575
PEBBLES_M,pebbles,0.9565799410418069,0.035910367626710765,0.1261682433118267,0.026105113339386143,0.0627279080926412,3.91
PEBBLES_S,pebbles,1.0741411868981725,-0.04164735782070291,-0.003713214837504806,-0.09310112392646588,-0.04615389886155787,3.33
PEBBLES_XL,pebbles,0.9308915044508662,0.05501713968102154,0.06627907065050154,-0.1494233280385917,-0.00937570590235621,8.46
PEBBLES_XS,pebbles,0.8657945659348698,0.090560036356208,0.029128100010880432,-0.06510207160083506,0.01819535492208446,3.45
ROBOT_DISHES,robot,0.794630440416392,0.15449478441816034,0.025447251378708603,-0.07281247473126187,0.03570985368853569,2.105
ROBOT_IRONING,robot,0.6963602126684262,-0.15672062567548442,-0.004028214305940605,-0.0628812301880227,-0.07454335672314925,2.8
ROBOT_LAUNDRY,robot,0.895888673475836,-0.09473615847205542,0.14192307745639418,-0.10709661371901247,-0.019969898244891236,2.495
ROBOT_MOPPING,robot,0.9894577073415393,0.023231286069066763,-0.004830347589473325,-0.010414054320055726,0.0026622947198459046,2.485
ROBOT_VACUUMING,robot,1.173479357809127,0.06754898425560817,0.02192025978883765,-0.027747971877703455,0.020573757388914118,2.945
SLEEP_POD_COTTON,sleep_pod,1.3730937699745254,-0.04720009055340298,0.03604019840676405,-0.0674172546541082,-0.02619238226691571,3.34
SLEEP_POD_LAMB_WOOL,sleep_pod,1.3526210718370455,0.0047203137801509944,-0.24847094368442116,0.1908973761807721,-0.01761775124116602,2.605
SLEEP_POD_NYLON,sleep_pod,0.9611560888130221,0.06791187059207214,-0.09004033087780476,0.07438865279622292,0.017420064170163434,2.31
SLEEP_POD_POLYESTER,sleep_pod,1.1203489631100123,0.09358806182624262,0.14026688030286152,-0.03240500866994503,0.0671499778197197,3.685
SLEEP_POD_SUEDE,sleep_pod,0.9885424445845927,-0.06959686334551987,-0.007686679004656174,0.059781434082873904,-0.005834036089100716,3.3
SNACKPACK_CHOCOLATE,snackpack,1.0318885685027401,0.05244938513368962,-0.09125912473238461,-0.0061913821114538406,-0.015000373903382942,1.78
SNACKPACK_PISTACHIO,snackpack,0.9429420987087616,0.006524625634826197,-0.06099257981216431,0.06289411058105919,0.0028087188012403583,1.75
SNACKPACK_RASPBERRY,snackpack,0.9100131474431907,0.04267188472985313,-0.1472257036561593,0.019760799388706618,-0.02826433984586652,2.595
SNACKPACK_STRAWBERRY,snackpack,0.9344434225123656,0.03266032785754922,-0.12922803983019074,0.03326303105894234,-0.02110156030456639,2.685
SNACKPACK_VANILLA,snackpack,0.9880280941359317,0.11822606868753985,-0.06011067271475865,-0.03292680674754039,0.008396196408413603,1.795
TRANSLATOR_ASTRO_BLACK,translator,1.0348362374738589,0.0212703205226249,-0.0017629151076748513,0.0073266714285174965,0.008944692281155847,3.155
TRANSLATOR_ECLIPSE_CHARCOAL,translator,0.9777334523336927,0.18113114287712243,0.10330909735187718,0.10985249611628832,0.13143091211509597,2.32
TRANSLATOR_GRAPHITE_MIST,translator,1.0675623771942002,-0.06828023411415653,0.07722888997162182,-0.01439386815427474,-0.0018150707656031488,2.255
TRANSLATOR_SPACE_GRAY,translator,0.8564018341558496,-0.24736084081553125,-0.019645330420149328,0.0774922845991801,-0.06317129554550016,2.155
TRANSLATOR_VOID_BLUE,translator,0.8807469970891637,0.10965708333431058,-0.0692643234676919,-0.025199911825881653,0.005064282680245676,2.68
UV_VISOR_AMBER,uv_visor,1.204299279146771,-0.09190111004082738,-0.020395416991268383,0.0028133192665765715,-0.0364944025885064,3.36
UV_VISOR_MAGENTA,uv_visor,0.7806539785691345,-0.06723051520401134,-0.11912751974766105,-0.060751890372271765,-0.08236997510798139,2.7
UV_VISOR_ORANGE,uv_visor,0.9064042071201609,0.05421821989675975,-0.18713173985024267,-0.014690408801390444,-0.049201309584957796,2.47
UV_VISOR_RED,uv_visor,0.9728459013691185,-0.0069442352706738765,-0.26446334687139494,-0.11336170423339206,-0.1282564287918203,2.505
UV_VISOR_YELLOW,uv_visor,0.6855861413269946,0.09930378894154299,0.06313701614328916,-0.10397654737905966,0.019488085901924166,2.44
